file_name;url
pages/1_Trim-an-Orange-Tree.html;Trim-an-Orange-Tree
pages/2_Shave-Your-Arms.html;Shave-Your-Arms
pages/3_Cook-Squash.html;Cook-Squash
pages/4_Trim-a-Mustache.html;Trim-a-Mustache
pages/5_Properly-Care-for-Your-Guinea-Pigs.html;Properly-Care-for-Your-Guinea-Pigs
pages/6_Turn-a-Radiator-Off.html;Turn-a-Radiator-Off
pages/7_Explain-Racism-to-a-Child.html;Explain-Racism-to-a-Child
pages/8_Tat.html;Tat
pages/9_Treat-Low-Potassium-Blood-Levels.html;Treat-Low-Potassium-Blood-Levels
pages/10_Fill-Nail-Holes-in-Drywall-Without-Painting.html;Fill-Nail-Holes-in-Drywall-Without-Painting
